[config] train=5253 val=540 batch=20 visible_gpus=2 data_parallel=True init_checkpoint=/home/hy/twostagenet/checkpoints_direct_unetpp_13168/best_val.pth resume=
epoch 35/80 | train_loss=0.569823 | train_loss_dolp=0.000877 | train_loss_vector=0.155617 | train_loss_aolp=0.678191 | train_loss_lowfreq=0.230927 | train_loss_edge=0.560952 | train_mean_aolp_reliability=0.265525 | val_loss=1.037666 | val_loss_dolp=0.001132 | val_loss_vector=0.329884 | val_loss_aolp=1.222373 | val_loss_lowfreq=0.330085 | val_loss_edge=0.588941 | val_mean_aolp_reliability=0.272024
epoch 36/80 | train_loss=0.569347 | train_loss_dolp=0.000871 | train_loss_vector=0.155459 | train_loss_aolp=0.677688 | train_loss_lowfreq=0.230630 | train_loss_edge=0.560951 | train_mean_aolp_reliability=0.265525 | val_loss=1.040368 | val_loss_dolp=0.001123 | val_loss_vector=0.331127 | val_loss_aolp=1.224670 | val_loss_lowfreq=0.331339 | val_loss_edge=0.590307 | val_mean_aolp_reliability=0.272024
epoch 37/80 | train_loss=0.569188 | train_loss_dolp=0.000867 | train_loss_vector=0.155402 | train_loss_aolp=0.677497 | train_loss_lowfreq=0.230613 | train_loss_edge=0.560953 | train_mean_aolp_reliability=0.265525 | val_loss=1.084347 | val_loss_dolp=0.001094 | val_loss_vector=0.348162 | val_loss_aolp=1.275196 | val_loss_lowfreq=0.339378 | val_loss_edge=0.592364 | val_mean_aolp_reliability=0.272024
epoch 38/80 | train_loss=0.568980 | train_loss_dolp=0.000864 | train_loss_vector=0.155331 | train_loss_aolp=0.677288 | train_loss_lowfreq=0.230469 | train_loss_edge=0.560943 | train_mean_aolp_reliability=0.265525 | val_loss=1.041864 | val_loss_dolp=0.001119 | val_loss_vector=0.331635 | val_loss_aolp=1.228903 | val_loss_lowfreq=0.325776 | val_loss_edge=0.590051 | val_mean_aolp_reliability=0.272024
epoch 39/80 | train_loss=0.568355 | train_loss_dolp=0.000859 | train_loss_vector=0.155105 | train_loss_aolp=0.676601 | train_loss_lowfreq=0.230221 | train_loss_edge=0.560943 | train_mean_aolp_reliability=0.265525 | val_loss=1.065285 | val_loss_dolp=0.001076 | val_loss_vector=0.340686 | val_loss_aolp=1.254257 | val_loss_lowfreq=0.334261 | val_loss_edge=0.590862 | val_mean_aolp_reliability=0.272024
epoch 40/80 | train_loss=0.568969 | train_loss_dolp=0.000854 | train_loss_vector=0.155344 | train_loss_aolp=0.677398 | train_loss_lowfreq=0.230125 | train_loss_edge=0.560939 | train_mean_aolp_reliability=0.265525 | val_loss=1.029432 | val_loss_dolp=0.001078 | val_loss_vector=0.326822 | val_loss_aolp=1.214107 | val_loss_lowfreq=0.325049 | val_loss_edge=0.589369 | val_mean_aolp_reliability=0.272024
epoch 41/80 | train_loss=0.567993 | train_loss_dolp=0.000849 | train_loss_vector=0.154989 | train_loss_aolp=0.676206 | train_loss_lowfreq=0.230026 | train_loss_edge=0.560930 | train_mean_aolp_reliability=0.265525 | val_loss=1.067827 | val_loss_dolp=0.001123 | val_loss_vector=0.341774 | val_loss_aolp=1.256732 | val_loss_lowfreq=0.334892 | val_loss_edge=0.591710 | val_mean_aolp_reliability=0.272024
epoch 42/80 | train_loss=0.568558 | train_loss_dolp=0.000847 | train_loss_vector=0.155209 | train_loss_aolp=0.676994 | train_loss_lowfreq=0.229789 | train_loss_edge=0.560937 | train_mean_aolp_reliability=0.265525 | val_loss=1.042263 | val_loss_dolp=0.001147 | val_loss_vector=0.332448 | val_loss_aolp=1.230245 | val_loss_lowfreq=0.319603 | val_loss_edge=0.592497 | val_mean_aolp_reliability=0.272024
epoch 43/80 | train_loss=0.567040 | train_loss_dolp=0.000845 | train_loss_vector=0.154644 | train_loss_aolp=0.675120 | train_loss_lowfreq=0.229727 | train_loss_edge=0.560925 | train_mean_aolp_reliability=0.265525 | val_loss=1.054157 | val_loss_dolp=0.001131 | val_loss_vector=0.336479 | val_loss_aolp=1.242407 | val_loss_lowfreq=0.328738 | val_loss_edge=0.591902 | val_mean_aolp_reliability=0.272024
epoch 44/80 | train_loss=0.567002 | train_loss_dolp=0.000843 | train_loss_vector=0.154633 | train_loss_aolp=0.675130 | train_loss_lowfreq=0.229574 | train_loss_edge=0.560926 | train_mean_aolp_reliability=0.265525 | val_loss=1.127417 | val_loss_dolp=0.001091 | val_loss_vector=0.365539 | val_loss_aolp=1.327602 | val_loss_lowfreq=0.335620 | val_loss_edge=0.597235 | val_mean_aolp_reliability=0.272024
