name,dolp_mae,dolp_rmse,cos_mae,sin_mae,cos_sin_vector_error,weighted_aolp_error_deg,high_dolp_aolp_error_deg,dop_mae,dop_rmse,aop_mae_deg,weighted_aop_mae_deg,high_dop_aop_mae_deg
scene13_traj1_1__000226,0.041066259145736694,0.06489305198192596,0.5196954011917114,0.48828333616256714,0.7816987037658691,19.489830017089844,14.166915893554688,0.041066259145736694,0.06489305198192596,25.770450592041016,19.489830017089844,14.166915893554688
scene13_traj1_1__000227,0.04109760373830795,0.06472601741552353,0.5198555588722229,0.489046573638916,0.7823891043663025,19.5643253326416,14.30889892578125,0.04109760373830795,0.06472601741552353,25.797508239746094,19.5643253326416,14.30889892578125
scene13_traj1_1__000228,0.041517797857522964,0.06497609615325928,0.5201706886291504,0.48853951692581177,0.7823675274848938,19.5777530670166,14.305285453796387,0.041517797857522964,0.06497609615325928,25.797731399536133,19.5777530670166,14.305285453796387
scene13_traj1_1__000229,0.04158001020550728,0.06501339375972748,0.5154559016227722,0.4845827519893646,0.7753420472145081,19.2691650390625,13.934636116027832,0.04158001020550728,0.06501339375972748,25.53447151184082,19.2691650390625,13.934636116027832
scene13_traj1_1__000230,0.04177054762840271,0.065192312002182,0.5141071081161499,0.48031899333000183,0.7705339193344116,19.1168212890625,13.912246704101562,0.04177054762840271,0.065192312002182,25.370813369750977,19.1168212890625,13.912246704101562
scene13_traj1_1__000231,0.04179994389414787,0.06470414251089096,0.5055583119392395,0.4786871671676636,0.7625919580459595,18.909439086914062,13.828056335449219,0.04179994389414787,0.06470414251089096,25.11155128479004,18.909439086914062,13.828056335449219
scene13_traj1_1__000232,0.041928064078092575,0.06497292965650558,0.504246175289154,0.4774343967437744,0.760422945022583,18.875032424926758,13.703020095825195,0.041928064078092575,0.06497292965650558,25.045398712158203,18.875032424926758,13.703020095825195
scene13_traj1_1__000233,0.043411169201135635,0.06647942215204239,0.5001166462898254,0.4689350426197052,0.7507831454277039,18.713956832885742,13.76986026763916,0.043411169201135635,0.06647942215204239,24.7044677734375,18.713956832885742,13.76986026763916
scene13_traj1_1__000234,0.04577059671282768,0.07188408076763153,0.4925234615802765,0.45583775639533997,0.734957754611969,18.001354217529297,13.204861640930176,0.04577059671282768,0.07188408076763153,24.141830444335938,18.001354217529297,13.204861640930176
scene13_traj1_1__000235,0.050650328397750854,0.0790749117732048,0.4947505593299866,0.434164822101593,0.7192553877830505,17.02161407470703,12.629109382629395,0.050650328397750854,0.0790749117732048,23.51726722717285,17.02161407470703,12.629109382629395
scene13_traj1_1__000236,0.052509043365716934,0.08277934044599533,0.4987131655216217,0.43144768476486206,0.7201622128486633,17.200674057006836,12.975210189819336,0.052509043365716934,0.08277934044599533,23.517120361328125,17.200674057006836,12.975210189819336
scene13_traj1_1__000237,0.05223474279046059,0.0819464698433876,0.4993855357170105,0.4306877851486206,0.7200630307197571,17.241762161254883,12.962310791015625,0.05223474279046059,0.0819464698433876,23.52895164489746,17.241762161254883,12.962310791015625
scene13_traj1_1__000238,0.05328455567359924,0.08449363708496094,0.5067444443702698,0.4300822913646698,0.7247269153594971,17.573070526123047,13.502822875976562,0.05328455567359924,0.08449363708496094,23.69733428955078,17.573070526123047,13.502822875976562
scene13_traj1_1__000239,0.054139044135808945,0.08648750931024551,0.5008111596107483,0.42585015296936035,0.7163857221603394,17.14508819580078,13.33393669128418,0.054139044135808945,0.08648750931024551,23.387704849243164,17.14508819580078,13.33393669128418
scene13_traj1_1__000240,0.05455796793103218,0.08776813000440598,0.501197099685669,0.4223676323890686,0.7150040864944458,17.09372901916504,13.446858406066895,0.05455796793103218,0.08776813000440598,23.30730628967285,17.09372901916504,13.446858406066895
scene13_traj1_1__000241,0.05525138974189758,0.08884505927562714,0.5016776323318481,0.4195270538330078,0.711808979511261,16.925987243652344,13.24299430847168,0.05525138974189758,0.08884505927562714,23.201868057250977,16.925987243652344,13.24299430847168
scene13_traj1_1__000242,0.05531008169054985,0.08873976767063141,0.501707136631012,0.41970500349998474,0.7124317288398743,16.98085594177246,13.359125137329102,0.05531008169054985,0.08873976767063141,23.223596572875977,16.98085594177246,13.359125137329102
scene13_traj1_1__000243,0.05618446692824364,0.09008283913135529,0.49955087900161743,0.4132232367992401,0.7062215805053711,16.829269409179688,13.397256851196289,0.05618446692824364,0.09008283913135529,22.995527267456055,16.829269409179688,13.397256851196289
scene13_traj1_1__000244,0.05693575739860535,0.09074892103672028,0.5029049515724182,0.4127434194087982,0.7074629068374634,17.099546432495117,13.667868614196777,0.05693575739860535,0.09074892103672028,23.03045654296875,17.099546432495117,13.667868614196777
scene13_traj1_1__000245,0.05777474120259285,0.09190404415130615,0.5064476728439331,0.40914303064346313,0.7078161239624023,17.24354362487793,14.057074546813965,0.05777474120259285,0.09190404415130615,23.042396545410156,17.24354362487793,14.057074546813965
scene13_traj1_1__000246,0.05702508985996246,0.09094034135341644,0.4964582920074463,0.4064893126487732,0.6978232860565186,16.554779052734375,13.213150978088379,0.05702508985996246,0.09094034135341644,22.68758773803711,16.554779052734375,13.213150978088379
scene13_traj1_1__000247,0.0570681206882,0.09135472774505615,0.49238908290863037,0.40827861428260803,0.6962376832962036,16.491430282592773,13.173540115356445,0.0570681206882,0.09135472774505615,22.630050659179688,16.491430282592773,13.173540115356445
scene13_traj1_1__000248,0.054694075137376785,0.08943183720111847,0.4814184606075287,0.41416215896606445,0.6913889646530151,15.549869537353516,12.13044548034668,0.054694075137376785,0.08943183720111847,22.4697265625,15.549869537353516,12.13044548034668
scene13_traj1_1__000249,0.05286606028676033,0.0883064866065979,0.48522311449050903,0.42070430517196655,0.699725866317749,15.151379585266113,11.47377872467041,0.05286606028676033,0.0883064866065979,22.753559112548828,15.151379585266113,11.47377872467041
scene13_traj1_1__000250,0.05221410095691681,0.08713294565677643,0.4834912121295929,0.4198184609413147,0.697831392288208,14.830338478088379,11.059080123901367,0.05221410095691681,0.08713294565677643,22.6953125,14.830338478088379,11.059080123901367
